Category: All categories

Week,greta thunberg: (Nebraska),climate change: (Nebraska)
2015-07-12,0,6
2015-07-19,0,0
2015-07-26,0,6
2015-08-02,0,6
2015-08-09,0,9
2015-08-16,0,0
2015-08-23,0,5
2015-08-30,0,13
2015-09-06,0,6
2015-09-13,0,11
2015-09-20,0,8
2015-09-27,0,21
2015-10-04,0,11
2015-10-11,0,8
2015-10-18,0,8
2015-10-25,0,5
2015-11-01,0,16
2015-11-08,0,11
2015-11-15,0,18
2015-11-22,0,5
2015-11-29,0,22
2015-12-06,0,10
2015-12-13,0,13
2015-12-20,0,6
2015-12-27,0,5
2016-01-03,0,18
2016-01-10,0,15
2016-01-17,0,5
2016-01-24,0,10
2016-01-31,0,7
2016-02-07,0,5
2016-02-14,0,5
2016-02-21,0,13
2016-02-28,0,17
2016-03-06,0,8
2016-03-13,0,10
2016-03-20,0,10
2016-03-27,0,12
2016-04-03,0,11
2016-04-10,0,11
2016-04-17,0,16
2016-04-24,0,17
2016-05-01,0,9
2016-05-08,0,9
2016-05-15,0,5
2016-05-22,0,5
2016-05-29,0,5
2016-06-05,0,5
2016-06-12,0,5
2016-06-19,0,0
2016-06-26,0,5
2016-07-03,0,15
2016-07-10,0,10
2016-07-17,0,5
2016-07-24,0,10
2016-07-31,0,0
2016-08-07,0,14
2016-08-14,0,5
2016-08-21,0,5
2016-08-28,0,9
2016-09-04,0,9
2016-09-11,0,4
2016-09-18,0,7
2016-09-25,0,13
2016-10-02,0,13
2016-10-09,0,9
2016-10-16,0,5
2016-10-23,0,7
2016-10-30,0,11
2016-11-06,0,29
2016-11-13,0,19
2016-11-20,0,14
2016-11-27,0,25
2016-12-04,0,18
2016-12-11,0,17
2016-12-18,0,9
2016-12-25,0,7
2017-01-01,0,9
2017-01-08,0,6
2017-01-15,0,17
2017-01-22,0,27
2017-01-29,0,12
2017-02-05,0,6
2017-02-12,0,15
2017-02-19,0,20
2017-02-26,0,12
2017-03-05,0,12
2017-03-12,0,8
2017-03-19,0,4
2017-03-26,0,14
2017-04-02,0,8
2017-04-09,0,10
2017-04-16,0,6
2017-04-23,0,24
2017-04-30,0,12
2017-05-07,0,13
2017-05-14,0,9
2017-05-21,0,9
2017-05-28,0,40
2017-06-04,0,14
2017-06-11,0,11
2017-06-18,0,4
2017-06-25,0,9
2017-07-02,0,10
2017-07-09,0,9
2017-07-16,0,14
2017-07-23,0,5
2017-07-30,0,9
2017-08-06,0,7
2017-08-13,0,9
2017-08-20,0,8
2017-08-27,0,8
2017-09-03,0,17
2017-09-10,0,14
2017-09-17,0,10
2017-09-24,0,19
2017-10-01,0,12
2017-10-08,0,10
2017-10-15,0,13
2017-10-22,0,17
2017-10-29,0,18
2017-11-05,0,12
2017-11-12,0,15
2017-11-19,0,6
2017-11-26,0,11
2017-12-03,0,23
2017-12-10,0,10
2017-12-17,0,4
2017-12-24,0,5
2017-12-31,0,8
2018-01-07,0,10
2018-01-14,0,0
2018-01-21,0,12
2018-01-28,0,12
2018-02-04,0,10
2018-02-11,0,8
2018-02-18,0,0
2018-02-25,0,15
2018-03-04,0,8
2018-03-11,0,10
2018-03-18,0,8
2018-03-25,0,8
2018-04-01,0,6
2018-04-08,0,12
2018-04-15,0,4
2018-04-22,0,8
2018-04-29,0,12
2018-05-06,0,12
2018-05-13,0,6
2018-05-20,0,15
2018-05-27,0,0
2018-06-03,0,4
2018-06-10,0,0
2018-06-17,0,0
2018-06-24,0,4
2018-07-01,0,4
2018-07-08,0,8
2018-07-15,0,4
2018-07-22,0,6
2018-07-29,0,4
2018-08-05,0,6
2018-08-12,0,6
2018-08-19,0,4
2018-08-26,0,4
2018-09-02,0,4
2018-09-09,0,8
2018-09-16,0,12
2018-09-23,0,4
2018-09-30,0,12
2018-10-07,0,14
2018-10-14,0,10
2018-10-21,0,16
2018-10-28,0,16
2018-11-04,0,13
2018-11-11,0,31
2018-11-18,0,17
2018-11-25,0,8
2018-12-02,0,22
2018-12-09,0,14
2018-12-16,0,15
2018-12-23,0,5
2018-12-30,0,11
2019-01-06,0,14
2019-01-13,0,8
2019-01-20,0,10
2019-01-27,0,12
2019-02-03,4,10
2019-02-10,0,14
2019-02-17,0,14
2019-02-24,0,14
2019-03-03,0,14
2019-03-10,0,8
2019-03-17,0,8
2019-03-24,0,32
2019-03-31,0,22
2019-04-07,0,18
2019-04-14,0,27
2019-04-21,0,8
2019-04-28,0,12
2019-05-05,0,18
2019-05-12,0,21
2019-05-19,0,15
2019-05-26,0,4
2019-06-02,0,6
2019-06-09,0,4
2019-06-16,0,10
2019-06-23,0,9
2019-06-30,4,9
2019-07-07,0,6
2019-07-14,0,9
2019-07-21,4,0
2019-07-28,5,0
2019-08-04,0,9
2019-08-11,8,8
