Category: All categories

Week,greta thunberg: (New Mexico),climate change: (New Mexico)
2015-07-12,0,0
2015-07-19,0,9
2015-07-26,0,17
2015-08-02,0,17
2015-08-09,0,0
2015-08-16,0,0
2015-08-23,0,8
2015-08-30,0,8
2015-09-06,0,24
2015-09-13,0,23
2015-09-20,0,0
2015-09-27,0,23
2015-10-04,0,0
2015-10-11,0,0
2015-10-18,0,15
2015-10-25,0,22
2015-11-01,0,0
2015-11-08,0,31
2015-11-15,0,22
2015-11-22,0,16
2015-11-29,0,7
2015-12-06,0,29
2015-12-13,0,8
2015-12-20,0,0
2015-12-27,0,8
2016-01-03,0,0
2016-01-10,0,5
2016-01-17,0,11
2016-01-24,0,5
2016-01-31,0,37
2016-02-07,0,5
2016-02-14,0,10
2016-02-21,0,11
2016-02-28,0,10
2016-03-06,0,10
2016-03-13,0,5
2016-03-20,0,17
2016-03-27,0,11
2016-04-03,0,21
2016-04-10,0,0
2016-04-17,0,11
2016-04-24,0,16
2016-05-01,0,22
2016-05-08,0,6
2016-05-15,0,22
2016-05-22,0,6
2016-05-29,0,0
2016-06-05,0,0
2016-06-12,0,0
2016-06-19,0,0
2016-06-26,0,6
2016-07-03,0,6
2016-07-10,0,12
2016-07-17,0,0
2016-07-24,0,6
2016-07-31,0,0
2016-08-07,0,12
2016-08-14,0,12
2016-08-21,0,6
2016-08-28,0,11
2016-09-04,0,17
2016-09-11,0,17
2016-09-18,0,22
2016-09-25,0,0
2016-10-02,0,11
2016-10-09,0,17
2016-10-16,0,17
2016-10-23,0,6
2016-10-30,0,11
2016-11-06,0,11
2016-11-13,0,11
2016-11-20,0,11
2016-11-27,0,10
2016-12-04,0,19
2016-12-11,0,20
2016-12-18,0,22
2016-12-25,0,11
2017-01-01,0,10
2017-01-08,0,26
2017-01-15,0,10
2017-01-22,0,20
2017-01-29,0,5
2017-02-05,0,5
2017-02-12,0,25
2017-02-19,0,5
2017-02-26,0,9
2017-03-05,0,10
2017-03-12,0,15
2017-03-19,0,16
2017-03-26,0,20
