Category: All categories

Week,greta thunberg: (South Dakota),climate change: (South Dakota)
2015-07-12,0,0
2015-07-19,0,19
2015-07-26,0,19
2015-08-02,0,37
2015-08-09,0,0
2015-08-16,0,0
2015-08-23,0,17
2015-08-30,0,0
2015-09-06,0,34
2015-09-13,0,16
2015-09-20,0,16
2015-09-27,0,15
2015-10-04,0,0
2015-10-11,0,48
2015-10-18,0,15
2015-10-25,0,30
2015-11-01,0,22
2015-11-08,0,0
2015-11-15,0,14
2015-11-22,0,32
2015-11-29,0,14
2015-12-06,0,13
2015-12-13,0,28
2015-12-20,0,18
2015-12-27,0,0
2016-01-03,0,20
2016-01-10,0,10
2016-01-17,0,11
2016-01-24,0,11
2016-01-31,0,0
2016-02-07,0,24
2016-02-14,0,12
2016-02-21,0,37
2016-02-28,0,18
2016-03-06,0,13
2016-03-13,0,18
2016-03-20,0,12
2016-03-27,0,12
2016-04-03,0,12
2016-04-10,0,25
2016-04-17,0,12
2016-04-24,0,24
2016-05-01,0,13
2016-05-08,0,13
2016-05-15,0,0
2016-05-22,0,14
2016-05-29,0,0
2016-06-05,0,0
2016-06-12,0,27
2016-06-19,0,14
2016-06-26,0,14
2016-07-03,0,0
2016-07-10,0,0
2016-07-17,0,14
2016-07-24,0,14
2016-07-31,0,0
2016-08-07,0,0
2016-08-14,0,0
2016-08-21,0,14
2016-08-28,0,0
2016-09-04,0,12
2016-09-11,0,12
2016-09-18,0,24
2016-09-25,0,24
2016-10-02,0,12
2016-10-09,0,12
2016-10-16,0,18
2016-10-23,0,12
2016-10-30,0,24
2016-11-06,0,29
2016-11-13,0,11
2016-11-20,0,18
2016-11-27,0,0
2016-12-04,0,32
2016-12-11,0,16
2016-12-18,0,12
2016-12-25,0,25
2017-01-01,0,0
2017-01-08,0,11
2017-01-15,0,11
2017-01-22,0,11
2017-01-29,0,54
2017-02-05,0,11
2017-02-12,0,11
2017-02-19,0,11
2017-02-26,0,10
2017-03-05,0,22
2017-03-12,0,0
2017-03-19,0,21
2017-03-26,0,11
2017-04-02,0,22
2017-04-09,0,11
2017-04-16,0,33
2017-04-23,0,32
2017-04-30,0,0
2017-05-07,0,29
2017-05-14,0,12
2017-05-21,0,19
2017-05-28,0,27
2017-06-04,0,31
2017-06-11,0,36
2017-06-18,0,0
2017-06-25,0,13
2017-07-02,0,13
2017-07-09,0,12
2017-07-16,0,12
2017-07-23,0,12
2017-07-30,0,12
2017-08-06,0,12
2017-08-13,0,12
2017-08-20,0,11
2017-08-27,0,11
2017-09-03,0,17
2017-09-10,0,10
2017-09-17,0,26
2017-09-24,0,11
2017-10-01,0,22
2017-10-08,0,11
2017-10-15,0,21
2017-10-22,0,16
2017-10-29,0,16
2017-11-05,0,21
2017-11-12,0,10
2017-11-19,0,16
2017-11-26,0,15
2017-12-03,0,0
2017-12-10,0,0
2017-12-17,0,11
2017-12-24,0,12
2017-12-31,0,32
2018-01-07,0,10
2018-01-14,0,10
2018-01-21,0,25
2018-01-28,0,15
2018-02-04,0,10
2018-02-11,0,21
2018-02-18,0,20
2018-02-25,0,0
2018-03-04,0,0
2018-03-11,0,10
2018-03-18,0,0
2018-03-25,0,21
2018-04-01,0,31
2018-04-08,0,0
2018-04-15,0,15
2018-04-22,0,11
2018-04-29,0,0
2018-05-06,0,21
2018-05-13,0,22
2018-05-20,0,0
2018-05-27,0,0
2018-06-03,0,0
2018-06-10,0,11
2018-06-17,0,11
2018-06-24,0,0
2018-07-01,0,0
2018-07-08,0,11
2018-07-15,0,0
2018-07-22,0,0
2018-07-29,0,11
2018-08-05,0,11
2018-08-12,0,11
2018-08-19,0,0
2018-08-26,0,16
2018-09-02,0,11
2018-09-09,0,10
2018-09-16,0,0
2018-09-23,0,0
2018-09-30,0,21
2018-10-07,0,21
2018-10-14,0,0
2018-10-21,0,11
2018-10-28,0,11
2018-11-04,0,10
2018-11-11,0,16
2018-11-18,0,0
2018-11-25,0,20
2018-12-02,0,0
2018-12-09,0,21
2018-12-16,0,11
2018-12-23,0,0
2018-12-30,0,11
2019-01-06,0,10
2019-01-13,0,10
2019-01-20,0,10
2019-01-27,0,20
2019-02-03,0,20
2019-02-10,0,0
2019-02-17,0,0
2019-02-24,0,20
2019-03-03,0,21
2019-03-10,0,31
2019-03-17,0,20
2019-03-24,10,10
2019-03-31,0,31
2019-04-07,0,10
2019-04-14,0,27
2019-04-21,0,27
2019-04-28,10,16
2019-05-05,0,26
2019-05-12,0,16
2019-05-19,0,22
2019-05-26,0,11
2019-06-02,0,17
2019-06-09,0,11
2019-06-16,0,0
2019-06-23,0,11
2019-06-30,0,11
2019-07-07,0,11
2019-07-14,0,11
2019-07-21,0,0
2019-07-28,0,11
2019-08-04,0,11
2019-08-11,0,11
2019-08-18,0,0
2019-08-25,10,10
2019-09-01,20,14
2019-09-08,9,27
2019-09-15,37,23
2019-09-22,100,19
2019-09-29,37,19
2019-10-06,81,38
2019-10-13,10,19
2019-10-20,28,28
2019-10-27,10,14
2019-11-03,9,19
2019-11-10,9,14
2019-11-17,9,9
2019-11-24,0,15
2019-12-01,18,23
2019-12-08,62,10
2019-12-15,29,10
2019-12-22,22,33
2019-12-29,10,10
2020-01-05,14,9
2020-01-12,9,9
2020-01-19,9,23
2020-01-26,9,9
2020-02-02,9,13
2020-02-09,9,27
2020-02-16,18,18
2020-02-23,17,30
2020-03-01,26,9
2020-03-08,0,26
2020-03-15,0,0
2020-03-22,8,15
2020-03-29,8,8
2020-04-05,0,0
2020-04-12,0,0
2020-04-19,8,12
2020-04-26,0,16
2020-05-03,0,0
2020-05-10,20,8
2020-05-17,9,9
2020-05-24,9,0
2020-05-31,9,9
2020-06-07,0,9
2020-06-14,0,9
2020-06-21,9,0
2020-06-28,0,0
2020-07-05,10,0
