Category: All categories

Week,greta thunberg: (Dayton OH),climate change: (Dayton OH)
2015-07-12,0,19
2015-07-19,0,0
2015-07-26,0,0
2015-08-02,0,39
2015-08-09,0,0
2015-08-16,0,37
2015-08-23,0,54
2015-08-30,0,52
2015-09-06,0,18
2015-09-13,0,0
2015-09-20,0,34
2015-09-27,0,17
2015-10-04,0,0
2015-10-11,0,0
2015-10-18,0,0
2015-10-25,0,32
2015-11-01,0,0
2015-11-08,0,16
2015-11-15,0,16
2015-11-22,0,17
2015-11-29,0,0
2015-12-06,0,30
2015-12-13,0,32
2015-12-20,0,0
2015-12-27,0,0
2016-01-03,0,0
2016-01-10,0,0
2016-01-17,0,0
2016-01-24,0,0
2016-01-31,0,0
2016-02-07,0,11
2016-02-14,0,11
2016-02-21,0,11
2016-02-28,0,11
2016-03-06,0,23
2016-03-13,0,0
2016-03-20,0,12
2016-03-27,0,0
2016-04-03,0,0
2016-04-10,0,23
2016-04-17,0,12
2016-04-24,0,0
2016-05-01,0,0
2016-05-08,0,0
2016-05-15,0,0
2016-05-22,0,0
2016-05-29,0,0
2016-06-05,0,0
2016-06-12,0,0
2016-06-19,0,0
2016-06-26,0,0
2016-07-03,0,25
2016-07-10,0,0
2016-07-17,0,0
2016-07-24,0,0
2016-07-31,0,0
2016-08-07,0,0
2016-08-14,0,0
2016-08-21,0,0
2016-08-28,0,0
2016-09-04,0,0
2016-09-11,0,11
2016-09-18,0,11
2016-09-25,0,22
2016-10-02,0,11
2016-10-09,0,12
2016-10-16,0,45
2016-10-23,0,0
2016-10-30,0,11
2016-11-06,0,11
2016-11-13,0,11
2016-11-20,0,11
2016-11-27,0,10
2016-12-04,0,20
2016-12-11,0,31
2016-12-18,0,0
2016-12-25,0,11
2017-01-01,0,0
2017-01-08,0,21
2017-01-15,0,10
2017-01-22,0,59
2017-01-29,0,0
2017-02-05,0,30
2017-02-12,0,0
2017-02-19,0,20
2017-02-26,0,9
2017-03-05,0,10
2017-03-12,0,0
2017-03-19,0,0
2017-03-26,0,41
2017-04-02,0,40
2017-04-09,0,11
2017-04-16,0,10
2017-04-23,0,40
2017-04-30,0,40
2017-05-07,0,0
2017-05-14,0,11
2017-05-21,0,0
2017-05-28,0,36
2017-06-04,0,12
2017-06-11,0,0
2017-06-18,0,0
2017-06-25,0,0
2017-07-02,0,0
2017-07-09,0,0
2017-07-16,0,12
2017-07-23,0,11
2017-07-30,0,11
2017-08-06,0,0
2017-08-13,0,0
2017-08-20,0,10
2017-08-27,0,0
2017-09-03,0,0
2017-09-10,0,0
2017-09-17,0,10
2017-09-24,0,0
2017-10-01,0,0
2017-10-08,0,10
2017-10-15,0,0
2017-10-22,0,0
2017-10-29,0,30
2017-11-05,0,0
2017-11-12,0,29
2017-11-19,0,31
2017-11-26,0,9
2017-12-03,0,0
2017-12-10,0,10
2017-12-17,0,0
2017-12-24,0,11
2017-12-31,0,20
2018-01-07,0,0
2018-01-14,0,10
2018-01-21,0,9
2018-01-28,0,0
2018-02-04,0,9
2018-02-11,0,0
2018-02-18,0,28
2018-02-25,0,9
2018-03-04,0,0
2018-03-11,0,9
2018-03-18,0,10
2018-03-25,0,0
2018-04-01,0,10
2018-04-08,0,0
2018-04-15,0,9
2018-04-22,0,9
